Consultas,Historia de Madrid,El Palacio Real,Museo del Prado,Parque del Retiro,Gastronomía Madrileña,Gran Vía,Real Madrid y el Estadio Santiago Bernabéu,Navidad en Madrid,Nochevieja en Puerta del Sol,Madrid Río,Historia de Dortmund,Westfalenpark,Museo del Fútbol Alemán,Mercado de Navidad de Dortmund,U-Tower - Centro de Arte y Creatividad,Borussia Dortmund y el Signal Iduna Park,La cervecería Dortmund,La Reinoldikirche,Dortmund durante la Segunda Guerra Mundial,Zoológico de Dortmund
Historia medieval de las ciudades europeas,0.281271975231506,0.4330127018922193,0.19695964928958382,0.2626128657194451,0.1690308509457033,0.29488391230979427,0.19205531989934396,0.14433756729740646,0.30316953129541624,0.12909944487358055,0.13736056394868904,0.3216337604513384,0.10721125348377948,0.3195048252113469,0.300964632714423,0.19205531989934396,0.24433888871261045,0.34668762264076824,0.07715167498104596,0.2519763153394848
Principales destinos turísticos en Europa,0.079555728417573,0.06804138174397716,0.0,0.0,0.11952286093343936,0.0,0.09053574604251853,0.10206207261596574,0.0,0.18257418583505533,0.29138575870717925,0.22742941307367098,0.22742941307367098,0.0,0.0,0.18107149208503706,0.0,0.0,0.21821789023599233,0.08908708063747478
Influencia de la realeza en la cultura europea,0.4133836909571628,0.4321208107251124,0.16081688022566926,0.428845013935118,0.13801311186847084,0.300964632714423,0.15681251204679503,0.41247895569215276,0.44556639433950346,0.31622776601683794,0.3364632924552266,0.48145692048564936,0.2626128657194451,0.33541019662496846,0.34403123102809335,0.36589586144252173,0.3491282676376715,0.45291081365783836,0.44095855184409843,0.4629100498862757
Importancia de los parques urbanos en las ciudades,0.3215206485222378,0.31426968052735443,0.2680281337094487,0.214422506967559,0.20701966780270628,0.2407717061715384,0.31362502409359005,0.1767766952966369,0.2475368857441686,0.21081851067789195,0.22430886163681774,0.5252257314388902,0.2626128657194451,0.33541019662496846,0.24573659359149524,0.31362502409359005,0.19950186722152657,0.28306925853614895,0.25197631533948484,0.25717224993681986
Gastronomía típica en capitales europeas,0.1125087900926024,0.0,0.0,0.0,0.1690308509457033,0.0,0.12803687993289598,0.14433756729740646,0.0,0.2581988897471611,0.4120816918460671,0.21442250696755896,0.3216337604513384,0.0,0.0,0.25607375986579195,0.0,0.0,0.3086066999241838,0.1259881576697424
Eventos deportivos icónicos en Europa,0.079555728417573,0.06804138174397716,0.0,0.0,0.11952286093343936,0.0,0.09053574604251853,0.10206207261596574,0.0,0.18257418583505533,0.29138575870717925,0.22742941307367098,0.22742941307367098,0.0,0.0,0.18107149208503706,0.0,0.0,0.21821789023599233,0.08908708063747478
Celebraciones de Navidad en ciudades europeas,0.3247849012308155,0.3888888888888889,0.227429413073671,0.30323921743156135,0.19518001458970666,0.2553769592276246,0.22176638128637188,0.33333333333333337,0.2100420126042015,0.29814239699997197,0.3172206342872577,0.43328912241312095,0.24759378423606912,0.4743416490252569,0.34752402342845795,0.36961063547728645,0.21160368475757949,0.3202563076101743,0.2672612419124244,0.363696483726654
Museos de arte importantes en Europa,0.2515773027133138,0.3442651863295481,0.29361010975735174,0.23488808780588138,0.15118578920369088,0.1978141420187361,0.17177950029416048,0.19364916731037085,0.16269784336399212,0.23094010767585027,0.24571804673358047,0.38357064118830725,0.19178532059415362,0.2857738033247041,0.3230291412348993,0.28629916715693415,0.1639075094124459,0.24806946917841693,0.2760262237369417,0.2817180849095055
Efectos de la Segunda Guerra Mundial en ciudades europeas,0.2976702788937936,0.32732683535398854,0.14888750009563953,0.29777500019127906,0.12777531299998798,0.22291128503014113,0.14518017554874818,0.2727723627949905,0.27500954910846337,0.24397501823713327,0.2595870658255825,0.36469840431289846,0.20261022461827694,0.2760262237369417,0.273009453115974,0.29036035109749636,0.23087854826980506,0.3144854510165755,0.5248906591678238,0.33333333333333326
Arquitectura histórica en ciudades europeas,0.079555728417573,0.0,0.0,0.0,0.11952286093343936,0.10425720702853737,0.09053574604251853,0.10206207261596574,0.0,0.18257418583505533,0.29138575870717925,0.15161960871578065,0.22742941307367098,0.0,0.0,0.18107149208503706,0.0,0.0,0.21821789023599233,0.08908708063747478
